,date,region,日最低気温0℃未満日数(日),日平均気温25℃以上日数(日),日最高気温25℃以上日数(日),最高気温(℃),最深積雪(cm),日最低気温25℃以上日数(日),日照時間(時間),日最低気温の平均(℃),日最高気温の平均(℃),日平均気温0℃未満日数(日),最低気温(℃),日照時間0.1時間未満日数(日),降水量の合計(mm),日最高気温0℃未満日数(日),日降水量の最大(mm),平均気温(℃),降雪量合計(cm)
0,2015-01-01,中国,13.041666666666666,0.0,0.0,12.325000000000001,27.05,0.0,71.5625,0.42500000000000004,7.3500000000000005,3.4166666666666665,-3.875,4.833333333333333,176.5,0.625,38.4375,3.625,75.5
1,2015-01-01,中部,20.224489795918366,0.0,0.0,10.79795918367347,92.275,0.0,106.10816326530613,-1.8673469387755102,5.308163265306123,11.0,-6.573469387755103,7.469387755102041,177.8469387755102,2.63265306122449,30.540816326530614,1.6428571428571428,148.875
2,2015-01-01,九州,4.461538461538462,0.0,0.0,17.21923076923077,0.2222222222222222,0.0,129.8923076923077,4.45,12.21923076923077,0.2692307692307692,-0.40769230769230763,3.230769230769231,112.92307692307692,0.038461538461538464,35.69230769230769,8.28076923076923,0.2222222222222222
3,2015-01-01,北海道,30.8,0.0,0.0,5.16,75.27,0.0,91.469,-9.399,-0.606,27.95,-17.18,6.66,56.4,17.64,12.83,-4.632,118.81
4,2015-01-01,北陸,15.411764705882353,0.0,0.0,12.388235294117647,50.94117647058823,0.0,46.28823529411765,-0.05294117647058821,5.876470588235295,1.8823529411764706,-2.9941176470588236,10.529411764705882,256.97058823529414,0.058823529411764705,31.294117647058822,2.664705882352941,104.11764705882354
5,2015-01-01,四国,1.6666666666666667,0.0,0.0,16.466666666666665,0.0,0.0,154.88888888888889,3.744444444444445,11.100000000000001,0.0,-0.6333333333333333,1.6666666666666667,100.5,0.0,41.55555555555556,7.377777777777778,0.0
6,2015-01-01,東北,27.946666666666665,0.0,0.0,7.688000000000001,86.48648648648648,0.0,64.972,-3.694666666666667,2.468,17.373333333333335,-9.648,7.973333333333334,95.28666666666666,6.346666666666667,18.56,-0.5626666666666668,162.28378378378378
7,2015-01-01,沖縄,0.0,0.0,0.0,24.125,0.0,0.0,87.4,14.9875,19.8625,0.0,9.6125,6.75,79.4375,0.0,38.75,17.275,0.0
8,2015-01-01,関東,14.608695652173912,0.0,0.21739130434782608,14.91304347826087,35.529411764705884,0.0,153.98260869565217,1.065217391304348,9.034782608695652,6.434782608695652,-3.369565217391304,4.521739130434782,109.02173913043478,3.0,34.76086956521739,4.891304347826087,78.0
9,2015-01-01,関西,8.647058823529411,0.0,0.0,12.91764705882353,31.214285714285715,0.0,85.10000000000001,1.4705882352941178,7.652941176470588,1.2941176470588236,-2.152941176470588,5.529411764705882,188.52941176470588,0.23529411764705882,34.970588235294116,4.323529411764706,60.5
