,date,region,area,日最低気温0℃未満日数(日),日平均気温25℃以上日数(日),日最高気温25℃以上日数(日),最高気温(℃),最深積雪(cm),日最低気温25℃以上日数(日),日照時間(時間),日最低気温の平均(℃),日最高気温の平均(℃),日平均気温0℃未満日数(日),最低気温(℃),日照時間0.1時間未満日数(日),降水量の合計(mm),日最高気温0℃未満日数(日),日降水量の最大(mm),平均気温(℃),降雪量合計(cm)
0,2015-01-01,中国,山口,7.0,0.0,0.0,13.6,1.0,0.0,96.1,1.95,10.05,0.5,-1.9500000000000002,2.5,119.25,0.0,40.75,5.95,2.0
1,2015-01-01,中国,岡山,18.6,0.0,0.0,11.9,28.8,0.0,77.84,-0.64,6.2,5.4,-5.74,4.2,176.3,1.2,37.7,2.38,95.4
2,2015-01-01,中国,島根,16.0,0.0,0.0,11.771428571428572,27.166666666666668,0.0,56.74285714285714,-0.0285714285714285,6.828571428571428,4.285714285714286,-4.042857142857143,5.571428571428571,181.14285714285714,0.8571428571428571,39.785714285714285,3.185714285714286,79.66666666666667
3,2015-01-01,中国,広島,13.4,0.0,0.0,12.58,32.333333333333336,0.0,99.38,0.32,7.6,4.0,-3.72,3.0,134.9,0.6,37.3,3.72,100.0
4,2015-01-01,中国,鳥取,5.4,0.0,0.0,12.76,27.2,0.0,48.4,1.6199999999999999,7.9,0.8,-2.7,7.2,234.7,0.0,37.5,4.46,50.6
5,2015-01-01,中部,三重,7.5,0.0,0.0,13.75,2.0,0.0,141.075,1.55,9.375,0.0,-2.025,2.25,123.625,0.0,38.25,5.225,2.0
6,2015-01-01,中部,山梨,27.5,0.0,0.0,13.75,10.5,0.0,208.45,-3.15,7.35,7.5,-7.1,3.0,76.0,0.0,26.5,1.8499999999999999,19.5
7,2015-01-01,中部,岐阜,24.0,0.0,0.0,8.7,103.0,0.0,81.9125,-2.2125,4.025,13.25,-6.7,8.375,203.6875,2.25,29.1875,0.7000000000000001,194.0
8,2015-01-01,中部,愛知,3.5,0.0,0.0,13.45,3.0,0.0,173.5,2.3,9.149999999999999,0.0,-0.8,3.0,116.5,0.0,33.75,5.5,3.0
9,2015-01-01,中部,新潟,20.466666666666665,0.0,0.0,10.453333333333335,123.53333333333333,0.0,42.56666666666667,-0.9866666666666667,4.453333333333333,8.333333333333334,-5.933333333333334,11.8,256.06666666666666,1.4,31.866666666666667,1.6466666666666667,173.46666666666667
10,2015-01-01,中部,長野,30.666666666666668,0.0,0.0,8.1,82.33333333333333,0.0,117.575,-6.8500000000000005,2.0166666666666666,24.416666666666668,-12.525,6.666666666666667,122.45833333333333,7.5,21.875,-2.25,146.41666666666666
11,2015-01-01,中部,静岡,5.333333333333333,0.0,0.0,16.016666666666666,0.0,0.0,194.4,3.1166666666666667,11.066666666666668,0.0,-0.8833333333333333,3.5,149.16666666666666,0.0,41.5,6.933333333333334,0.0
12,2015-01-01,九州,佐賀,5.0,0.0,0.0,15.0,1.0,0.0,143.9,2.7,10.9,0.0,-2.1,3.0,86.5,0.0,21.5,6.8,1.0
13,2015-01-01,九州,大分,10.5,0.0,0.0,16.25,0.0,0.0,131.0,2.0,10.8,1.0,-3.4,3.5,104.25,0.0,38.25,6.1,0.0
14,2015-01-01,九州,宮崎,5.5,0.0,0.0,17.95,0.0,0.0,201.025,2.875,13.225,0.0,-1.9,1.75,138.25,0.0,47.625,7.875,0.0
15,2015-01-01,九州,熊本,9.0,0.0,0.0,15.525,0.0,0.0,111.9,2.05,11.025,0.0,-2.525,3.0,92.25,0.0,32.0,6.4,0.0
16,2015-01-01,九州,福岡,5.0,0.0,0.0,15.75,1.0,0.0,115.4,3.5,10.6,0.0,-2.0,4.5,94.5,0.0,34.25,7.050000000000001,1.0
17,2015-01-01,九州,長崎,3.6666666666666665,0.0,0.0,15.683333333333332,0.0,0.0,119.38333333333333,3.65,10.133333333333335,0.8333333333333334,-1.133333333333333,3.6666666666666665,116.83333333333333,0.16666666666666666,32.416666666666664,6.8999999999999995,0.0
18,2015-01-01,九州,鹿児島,0.0,0.0,0.0,20.099999999999998,0.0,0.0,110.35714285714286,8.628571428571428,15.171428571428573,0.0,3.8285714285714287,3.4285714285714284,118.42857142857143,0.0,35.5,11.957142857142857,0.0
19,2015-01-01,北海道,上川,31.0,0.0,0.0,3.5923076923076924,89.3076923076923,0.0,59.823076923076925,-11.576923076923077,-2.253846153846154,30.692307692307693,-23.76923076923077,7.846153846153846,37.26923076923077,24.692307692307693,8.038461538461538,-6.384615384615385,119.61538461538461
